"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_1","","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","","test_baseline","",""
"","111","test_04_mult_users[testcase0]","api-testcases.user.api","Fri Feb 21 02:02:07 CST 2025","passed","Fri Feb 21 02:02:07 CST 2025","TestUser","test_user","",""
"","0","test_2[cs2]","","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","","test_baseline","",""
"","0","test_login","","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","","test_baseline","",""
"","109","test_03_async_wait[testcase0]","api-testcases.user.api","Fri Feb 21 02:02:07 CST 2025","passed","Fri Feb 21 02:02:07 CST 2025","TestUser","test_user","",""
"","0","test_2[cs3]","","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","","test_baseline","",""
"","0","test_2[cs1]","","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","","test_baseline","",""
"","333","test_01_list_users[testcase0]","api-testcases.user.api","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:06 CST 2025","TestUser","test_user","",""
"","533","test_04_mult_users[testcase1]","api-testcases.user.api","Fri Feb 21 02:02:07 CST 2025","passed","Fri Feb 21 02:02:07 CST 2025","TestUser","test_user","",""
"","476","test_02_get_user[testcase0]","api-testcases.user.api","Fri Feb 21 02:02:06 CST 2025","passed","Fri Feb 21 02:02:07 CST 2025","TestUser","test_user","",""
